id,looks_faded,provisional,seed,image_paint_score,intersection_label,borough,neighborhood_id,notes
nyc-22859,True,True,image_heuristic,0.9899,Center Boulevard & 49 Avenue,Queens,QN0201,
nyc-21970,True,True,image_heuristic,0.9786,Grand Street & River Street,Brooklyn,BK0102,
nyc-21349,True,True,image_heuristic,0.9774,8 Avenue & West 41 Street,Manhattan,MN0502,
nyc-23418,True,True,image_heuristic,0.9719,Amsterdam Avenue & West 96 Street,Manhattan,MN0702,
nyc-22814,True,True,image_heuristic,0.9716,2 Avenue & East 59 Street,Manhattan,MN0604,
nyc-23722,True,True,image_heuristic,0.9679,3 Avenue & East 96 Street,Manhattan,MN0803,
nyc-21337,True,True,image_heuristic,0.9646,7 Avenue & West 31 Street,Manhattan,MN0501,
nyc-22608,True,True,image_heuristic,0.943,West 57 Street & 5 Avenue,Manhattan,MN0502,
nyc-22464,True,True,image_heuristic,0.9234,3 Avenue & East 32 Street,Manhattan,MN0603,
nyc-18439,True,True,image_heuristic,0.8519,Church Avenue & Fairview Place,Brooklyn,BK1701,
nyc-16214,True,True,image_heuristic,0.8473,Ocean Parkway & Brighton Beach Avenue,Brooklyn,BK1303,
nyc-21467,True,True,image_heuristic,0.8456,7 Avenue & West 46 Street,Manhattan,MN0502,
nyc-47273,True,True,image_heuristic,0.8353,Westchester Avenue & Prospect Avenue,Bronx,BX0202,
nyc-4781,True,True,image_heuristic,0.8265,Arthur Kill Road & Clarke Avenue,Staten Island,SI0302,
nyc-9040978,True,True,image_heuristic,0.8238,Pitkin Avenue & East New York Avenue,Brooklyn,BK1602,
nyc-52382,True,True,image_heuristic,0.8135,Westchester Avenue & St Lawrence Avenue,Bronx,BX0901,
nyc-23376,True,True,image_heuristic,0.8122,West End Avenue & West 96 Street,Manhattan,MN0702,
nyc-48633,True,True,image_heuristic,0.8122,Broadway & West 231 Street,Bronx,BX0802,
nyc-22684,True,True,image_heuristic,0.807,East 54 Street & 3 Avenue,Manhattan,MN0604,
nyc-2099,True,True,image_heuristic,0.7997,Hylan Boulevard & Kingdom Avenue,Staten Island,SI0304,
nyc-9090,True,True,image_heuristic,0.7651,Forest Avenue & Ridgewood Place,Staten Island,SI0104,
nyc-8403,True,True,image_heuristic,0.7588,Mason Avenue & Cromwell Avenue,Staten Island,SI0201,
nyc-539,True,True,image_heuristic,0.7525,Page Avenue & Camden Avenue,Staten Island,SI0305,
nyc-48614,True,True,image_heuristic,0.7516,Broadway & West 230 Street,Bronx,BX0802,
nyc-104630,True,True,image_heuristic,0.7426,Rikers Island Access Road & Rikers Island Connector Road,Bronx,QN0151,
nyc-9152,True,True,image_heuristic,0.7418,Haven Esplanade & Silver Lake Road,Staten Island,SI0104,
nyc-2771,True,True,image_heuristic,0.7402,Arthur Kill Road & Muldoon Avenue,Staten Island,SI0303,
nyc-15680,True,True,image_heuristic,0.7325,Old Fulton Street & Furman Street,Brooklyn,BK0201,
nyc-48771,True,True,image_heuristic,0.7289,Reservoir Avenue & University Avenue,Bronx,BX0801,
nyc-9004785,True,True,image_heuristic,0.7238,Sutter Avenue & Driveway,Brooklyn,BK1602,
nyc-406,True,True,image_heuristic,0.7108,Page Avenue & Estelle Place,Staten Island,SI0305,
nyc-78819,True,True,image_heuristic,0.7034,West Street & Chambers Street,Manhattan,MN0101,
nyc-33601,True,True,image_heuristic,0.6905,104 Street & 165 Avenue,Queens,QN1003,
nyc-41692,True,True,image_heuristic,0.6757,43 Street & Queens Boulevard,Queens,QN0202,
nyc-25714,True,True,image_heuristic,0.6741,Flatbush Avenue & Avenue U,Brooklyn,BK1802,
nyc-52672,True,True,image_heuristic,0.6713,Westchester Avenue & Pugsley Avenue,Bronx,BX0903,
nyc-26801,True,True,image_heuristic,0.666,Eastern Parkway & Schenectady Avenue,Brooklyn,BK0901,
nyc-22465,True,True,image_heuristic,0.6484,3 Avenue & East 33 Street,Manhattan,MN0603,
nyc-37048,True,True,image_heuristic,0.6466,Hillside Avenue & 165 Street,Queens,QN1201,
nyc-4656,True,True,image_heuristic,0.6459,Sampson Avenue & Katan Avenue,Staten Island,SI0302,
nyc-52471,True,True,image_heuristic,0.6431,Westchester Avenue & Taylor Avenue,Bronx,BX0901,
nyc-37435,True,True,image_heuristic,0.6413,Hillside Avenue & 179 Street,Queens,QN1201,
nyc-8402,True,True,image_heuristic,0.6413,Mason Avenue & Garretson Avenue,Staten Island,SI0201,
nyc-22862,True,True,image_heuristic,0.6407,Center Boulevard & 48 Avenue,Queens,QN0201,
nyc-537,True,True,image_heuristic,0.6325,Page Avenue & Bartow Avenue,Staten Island,SI0305,
nyc-43271,True,True,image_heuristic,0.6164,Westchester Avenue & Trinity Avenue,Bronx,BX0102,
nyc-18995,True,True,image_heuristic,0.6147,Empire Boulevard & Clove Road,Brooklyn,BK0902,
nyc-36165,True,True,image_heuristic,0.601,Rockaway Boulevard & 142 Street,Queens,QN1203,
nyc-39958,True,True,image_heuristic,0.5978,120 Avenue & 203 Street,Queens,QN1205,
nyc-52879,True,True,image_heuristic,0.597,East Tremont Avenue & Lurting Avenue,Bronx,BX1001,
nyc-22746,True,True,image_heuristic,0.5873,2 Avenue & East 54 Street,Manhattan,MN0604,
nyc-50032,True,True,image_heuristic,0.5759,62 Drive & 98 Street,Queens,QN0601,
nyc-87774,True,True,image_heuristic,0.5759,Ocean Parkway & Avenue F,Brooklyn,BK1203,
nyc-3524,True,True,image_heuristic,0.5666,Richmond Avenue & Signs Road,Staten Island,SI0204,
nyc-2089,True,True,image_heuristic,0.5638,Woodrow Road & Ruxton Avenue,Staten Island,SI0304,
nyc-35956,True,True,image_heuristic,0.557,150 Street & South Cargo Road,Queens,QN8381,
nyc-86421,True,True,image_heuristic,0.5506,Hillside Avenue & Range Street,Queens,QN1302,
nyc-56826,True,True,image_heuristic,0.5498,Randall Avenue & Balcom Avenue,Bronx,BX1002,
nyc-9698,True,True,image_heuristic,0.5467,Mason Avenue & Alter Avenue,Staten Island,SI0201,
nyc-49715,True,True,image_heuristic,0.5432,West 263 Street & Tyndall Avenue,Bronx,BX0803,
nyc-12987,True,True,image_heuristic,0.5428,86 Street & 25 Avenue,Brooklyn,BK1103,
nyc-43268,True,True,image_heuristic,0.5419,Westchester Avenue & Cauldwell Avenue,Bronx,BX0102,
nyc-61666,True,True,image_heuristic,0.5357,Northern Boulevard & 220 Street,Queens,QN1102,
nyc-45004,True,True,image_heuristic,0.5352,West 236 Street & Riverdale Avenue,Bronx,BX0803,
nyc-37228,True,True,image_heuristic,0.5277,Jamaica Avenue & 172 Street,Queens,QN1201,
nyc-95365,True,True,image_heuristic,0.5179,West Street & North Moore Street,Manhattan,MN0102,
nyc-17025,True,True,image_heuristic,0.5166,Emmons Avenue & East 19 Street,Brooklyn,BK1503,
nyc-14407,True,True,image_heuristic,0.5162,Columbia Street & Bush Street,Brooklyn,BK0601,
nyc-80302,True,True,image_heuristic,0.5156,Flatbush Avenue & Aviation Road,Brooklyn,BK5691,
nyc-22737,True,True,image_heuristic,0.508,1 Avenue & East 50 Street,Manhattan,MN0604,
nyc-53421,True,True,image_heuristic,0.5064,East Gun Hill Road & White Plains Road,Bronx,BX1201,
nyc-3535,True,True,image_heuristic,0.5033,Elmwood Park Drive & Donna Court,Staten Island,SI0204,
nyc-48414,True,True,image_heuristic,0.5013,Westchester Avenue & Manor Avenue,Bronx,BX0901,
nyc-41132,True,True,image_heuristic,0.4968,Queens Boulevard & 48 Street,Queens,QN0202,
nyc-92023,True,True,image_heuristic,0.4961,Hillside Avenue & Little Neck Parkway,Queens,QN1301,
nyc-16855,True,True,image_heuristic,0.4924,Neptune Avenue & Cass Place,Brooklyn,BK1303,
nyc-21624,True,True,image_heuristic,0.4914,Amsterdam Avenue & West 61 Street,Manhattan,MN0701,
nyc-37046,True,True,image_heuristic,0.4855,Hillside Avenue & 165 Street,Queens,QN1201,
nyc-7441,True,True,image_heuristic,0.4823,Clawson Street & Bache Avenue,Staten Island,SI0202,
nyc-29345,True,True,image_heuristic,0.4805,Pennsylvania Avenue & Livonia Avenue,Brooklyn,BK0503,
nyc-9007068,False,True,image_heuristic,0.4431,Bellamy Loop & Co-op City Sect 4 Ped Path,Bronx,BX1004,
nyc-21227,False,True,image_heuristic,0.4153,West 44 Street & 11 Avenue,Manhattan,MN0402,
nyc-50909,False,True,image_heuristic,0.4041,Northern Boulevard & 109 Street,Queens,QN0303,
nyc-78959,False,True,image_heuristic,0.4012,East 149 Street & Grand Concourse,Bronx,BX0101,
nyc-44187,False,True,image_heuristic,0.3963,Walton Avenue & East Mount Eden Avenue,Bronx,BX0403,
